NtClose;NtOpenKey;NtQueryValueKey;NtAllocateVirtualMemory;LdrGetProcedureAddress;LdrGetDllHandle;GetSystemTimeAsFileTime;NtEnumerateValueKey;LdrLoadDll;SetUnhandledExceptionFilter;NtCreateFile;RegOpenKeyExW;SetErrorMode;RegCloseKey;NtMapViewOfSection;FindFirstFileExW;RegQueryValueExW;NtEnumerateKey;GetFileAttributesW;NtUnmapViewOfSection;LdrUnloadDll;NtCreateSection;NtTerminateProcess
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19;6;5;3;6;4;2;0;1;1;1;3;3;2;1;10;14;0;2;0;1;1;3
16;2;2;3;1;2;1;0;1;1;1;0;0;0;1;0;0;0;0;1;3;1;3
19;6;5;3;6;4;2;0;1;1;1;3;3;2;1;10;14;0;2;0;1;1;3
20;2;2;3;9;2;1;0;4;1;2;1;0;0;1;0;0;0;0;1;4;1;3
19;6;5;3;6;4;2;0;1;1;1;3;3;2;1;10;14;0;2;0;1;1;3
20;2;2;3;9;2;1;0;4;1;2;1;0;0;1;0;0;0;0;1;4;1;3
19;6;5;3;6;4;2;0;1;1;1;3;3;2;1;10;14;0;2;0;1;1;3
20;2;2;3;9;2;1;0;4;1;2;1;0;0;1;0;0;0;0;1;4;1;3
19;6;5;3;6;4;2;0;1;1;1;3;3;2;1;10;14;0;2;0;1;1;3
20;2;2;3;9;2;1;0;4;1;2;1;0;0;1;0;0;0;0;1;4;1;3
19;6;5;3;6;4;2;0;1;1;1;3;3;2;1;10;14;0;2;0;1;1;3
19;2;2;3;9;2;1;0;4;1;1;1;0;0;1;0;0;0;0;1;4;1;3
19;6;5;3;6;4;2;0;1;1;1;3;3;2;1;10;14;0;2;0;1;1;3
19;2;2;3;9;2;1;0;4;1;1;1;0;0;1;0;0;0;0;1;4;1;3
19;6;5;3;6;4;2;0;1;1;1;3;3;2;1;10;14;0;2;0;1;1;3
19;2;2;4;9;2;1;0;4;1;1;1;0;0;1;0;0;0;0;1;4;1;3
19;6;5;3;6;4;2;0;1;1;1;3;3;2;1;10;14;0;2;0;1;1;3
19;2;2;3;9;2;1;0;4;1;1;1;0;0;1;0;0;0;0;1;4;1;3
19;6;5;3;6;4;2;0;1;1;1;3;3;2;1;10;14;0;2;0;1;1;3
19;2;2;3;9;2;1;0;4;1;1;1;0;0;1;0;0;0;0;1;4;1;3
19;6;5;3;6;4;2;0;1;1;1;3;3;2;1;10;14;0;2;0;1;1;3
19;2;2;3;9;2;1;0;4;1;1;1;0;0;1;0;0;0;0;1;4;1;3
19;6;5;3;6;4;2;0;1;1;1;3;3;2;1;10;14;0;2;0;1;1;3
19;2;2;3;9;2;1;0;4;1;1;1;0;0;1;0;0;0;0;1;4;1;3
19;6;5;3;6;4;2;0;1;1;1;3;3;2;1;10;14;0;2;0;1;1;3
19;2;2;3;9;2;1;0;4;1;1;1;0;0;1;0;0;0;0;1;4;1;3
19;6;5;3;6;4;2;0;1;1;1;3;3;2;1;10;14;0;2;0;1;1;3
16;2;2;4;1;2;1;0;1;1;1;0;0;0;1;0;0;0;0;1;3;1;3
19;6;5;3;6;4;2;0;1;1;1;3;3;2;1;10;14;0;2;0;1;1;3
29;33;15;3;0;2;1;8;0;1;0;0;0;0;0;0;0;2;0;0;0;0;3
