NtClose;NtOpenKey;NtQueryValueKey;NtAllocateVirtualMemory;LdrGetProcedureAddress;LdrGetDllHandle;GetSystemTimeAsFileTime;NtEnumerateValueKey;LdrLoadDll;SetUnhandledExceptionFilter;NtCreateFile;RegOpenKeyExW;SetErrorMode;RegCloseKey;NtMapViewOfSection;FindFirstFileExW;RegQueryValueExW;NtFreeVirtualMemory;NtReadFile;NtEnumerateKey;GetFileAttributesW;NtUnmapViewOfSection;LdrUnloadDll;NtCreateSection;NtTerminateProcess
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
56;6;5;15;51;15;2;0;20;0;5;16;28;4;4;6;4;7;537;0;2;1;4;3;3
90;8;5;20;262;34;4;0;45;0;5;45;39;15;7;6;12;9;111;0;0;8;12;4;3
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
56;6;5;15;51;15;2;0;20;0;5;16;28;4;4;6;4;7;537;0;2;1;4;3;3
90;8;5;20;262;34;4;0;45;0;5;45;39;15;7;6;12;9;111;0;0;8;12;4;3
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
56;6;5;15;51;15;2;0;20;0;5;16;28;4;4;6;4;7;537;0;2;1;4;3;3
90;8;5;20;262;34;4;0;45;0;5;45;39;15;7;6;12;9;111;0;0;8;12;4;3
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
56;6;5;15;51;15;2;0;20;0;5;16;28;4;4;6;4;7;537;0;2;1;4;3;3
90;8;5;20;262;34;4;0;45;0;5;45;39;15;7;6;12;9;111;0;0;8;12;4;3
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
56;6;5;15;51;15;2;0;20;0;5;16;28;4;4;6;4;7;537;0;2;1;4;3;3
90;8;5;20;262;34;4;0;45;0;5;45;39;15;7;6;12;9;111;0;0;8;12;4;3
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
56;6;5;15;51;15;2;0;20;0;5;16;28;4;4;6;4;7;537;0;2;1;4;3;3
90;8;5;20;262;34;4;0;45;0;5;45;39;15;7;6;12;9;111;0;0;8;12;4;3
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
56;6;5;15;51;15;2;0;20;0;5;16;28;4;4;6;4;7;537;0;2;1;4;3;3
90;8;5;20;262;34;4;0;45;0;5;45;39;15;7;6;12;9;111;0;0;8;12;4;3
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
56;6;5;15;51;15;2;0;20;0;5;16;28;4;4;6;4;7;537;0;2;1;4;3;3
90;8;5;20;262;34;4;0;45;0;5;45;39;15;7;6;12;9;111;0;0;8;12;4;3
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
56;6;5;15;51;15;2;0;20;0;5;16;28;4;4;6;4;7;537;0;2;1;4;3;3
90;8;5;20;262;34;4;0;45;0;5;45;39;15;7;6;12;9;111;0;0;8;12;4;3
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
56;6;5;15;51;15;2;0;20;0;5;16;28;4;4;6;4;7;537;0;2;1;4;3;3
90;8;5;20;262;34;4;0;45;0;5;45;39;15;7;6;12;9;111;0;0;8;12;4;3
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
56;6;5;15;51;15;2;0;20;0;5;16;28;4;4;6;4;6;537;0;2;1;4;3;3
90;8;5;20;262;34;4;0;45;0;5;45;39;15;7;6;12;9;111;0;0;8;12;4;3
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
56;6;5;15;51;15;2;0;20;0;5;16;28;4;4;6;4;7;537;0;2;1;4;3;3
90;8;5;20;262;34;4;0;45;0;5;45;39;15;7;6;12;9;111;0;0;8;12;4;3
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
56;6;5;15;51;15;2;0;20;0;5;16;28;4;4;6;4;7;537;0;2;1;4;3;3
90;8;5;20;262;34;4;0;45;0;5;45;39;15;7;6;12;9;111;0;0;8;12;4;3
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
56;6;5;15;51;15;2;0;20;0;5;16;28;4;4;6;4;7;537;0;2;1;4;3;3
90;8;5;20;262;34;4;0;45;0;5;45;39;15;7;6;12;9;111;0;0;8;12;4;3
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
56;6;5;15;51;15;2;0;20;0;5;16;28;4;4;6;4;7;537;0;2;1;4;3;3
90;8;5;21;262;34;4;0;45;0;5;45;39;15;7;6;12;9;111;0;0;8;12;4;3
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
56;6;5;15;51;15;2;0;20;0;5;16;28;4;4;6;4;7;537;0;2;1;4;3;3
90;8;5;20;262;34;4;0;45;0;5;45;39;15;7;6;12;9;111;0;0;8;12;4;3
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
56;6;5;15;51;15;2;0;20;0;5;16;28;4;4;6;4;7;537;0;2;1;4;3;3
90;8;5;20;262;34;4;0;45;0;5;45;39;15;7;6;12;9;111;0;0;8;12;4;3
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
56;6;5;15;51;15;2;0;20;0;5;16;28;4;4;6;4;6;537;0;2;1;4;3;3
90;8;5;20;262;34;4;0;45;0;5;45;39;15;7;6;12;9;111;0;0;8;12;4;3
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
56;6;5;15;51;15;2;0;20;0;5;16;28;4;4;6;4;7;537;0;2;1;4;3;3
90;8;5;20;262;34;4;0;45;0;5;45;39;15;7;6;12;9;111;0;0;8;12;4;3
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
56;6;5;15;51;15;2;0;20;0;5;16;28;4;4;6;4;6;537;0;2;1;4;3;3
