NtClose;NtOpenKey;NtQueryValueKey;NtAllocateVirtualMemory;LdrGetProcedureAddress;LdrGetDllHandle;GetSystemTimeAsFileTime;NtEnumerateValueKey;LdrLoadDll;SetUnhandledExceptionFilter;NtCreateFile;RegOpenKeyExW;RegCloseKey;NtMapViewOfSection;RegQueryValueExW;NtFreeVirtualMemory;LdrUnloadDll;NtCreateSection;NtTerminateProcess;LoadStringW
24;26;8;0;0;2;1;2;0;1;0;0;0;0;0;0;0;0;3;0
24;27;9;0;11;8;1;2;3;1;0;0;0;0;0;0;6;0;3;0
24;26;8;0;0;2;1;2;0;1;0;0;0;0;0;0;0;0;3;0
24;27;9;0;5;3;1;2;3;1;0;0;0;0;0;0;1;0;3;0
24;26;8;0;0;2;1;2;0;1;0;0;0;0;0;0;0;0;3;0
24;27;9;0;5;3;1;2;3;1;0;0;0;0;0;0;1;0;3;0
24;26;8;0;0;2;1;2;0;1;0;0;0;0;0;0;0;0;3;0
24;27;9;0;5;3;1;2;3;1;0;0;0;0;0;0;1;0;3;0
24;26;8;0;0;2;1;2;0;1;0;0;0;0;0;0;0;0;3;0
24;27;9;0;5;3;1;2;3;1;0;0;0;0;0;0;1;0;3;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
469;12;449;13;15;1;4;0;11;1;4;9;88;2;8;12;1;1;0;1
24;26;8;0;0;2;1;2;0;1;0;0;0;0;0;0;0;0;3;0
24;27;9;0;11;8;1;2;3;1;0;0;0;0;0;0;6;0;3;0
24;26;8;0;0;2;1;2;0;1;0;0;0;0;0;0;0;0;3;0
24;27;9;0;5;3;1;2;3;1;0;0;0;0;0;0;1;0;3;0
24;26;8;0;0;2;1;2;0;1;0;0;0;0;0;0;0;0;3;0
24;27;9;0;5;3;1;2;3;1;0;0;0;0;0;0;1;0;3;0
24;26;8;0;0;2;1;2;0;1;0;0;0;0;0;0;0;0;3;0
24;27;9;0;5;3;1;2;3;1;0;0;0;0;0;0;1;0;3;0
24;26;8;0;0;2;1;2;0;1;0;0;0;0;0;0;0;0;3;0
24;27;9;0;5;3;1;2;3;1;0;0;0;0;0;0;1;0;3;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
469;12;449;13;15;1;4;0;11;1;4;9;88;2;8;12;1;1;0;1
24;26;8;0;0;2;1;2;0;1;0;0;0;0;0;0;0;0;3;0
24;27;9;0;11;8;1;2;3;1;0;0;0;0;0;0;6;0;3;0
24;26;8;0;0;2;1;2;0;1;0;0;0;0;0;0;0;0;3;0
24;27;9;0;5;3;1;2;3;1;0;0;0;0;0;0;1;0;3;0
24;26;8;0;0;2;1;2;0;1;0;0;0;0;0;0;0;0;3;0
24;27;9;0;5;3;1;2;3;1;0;0;0;0;0;0;1;0;3;0
24;26;8;0;0;2;1;2;0;1;0;0;0;0;0;0;0;0;3;0
24;27;9;0;5;3;1;2;3;1;0;0;0;0;0;0;1;0;3;0
24;26;8;0;0;2;1;2;0;1;0;0;0;0;0;0;0;0;3;0
24;27;9;0;5;3;1;2;3;1;0;0;0;0;0;0;1;0;3;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
469;12;449;13;15;1;4;0;11;1;4;9;88;2;8;12;1;1;0;1
24;26;8;0;0;2;1;2;0;1;0;0;0;0;0;0;0;0;3;0
24;27;9;0;11;8;1;2;3;1;0;0;0;0;0;0;6;0;3;0
24;26;8;0;0;2;1;2;0;1;0;0;0;0;0;0;0;0;3;0
24;27;9;0;5;3;1;2;3;1;0;0;0;0;0;0;1;0;3;0
24;26;8;0;0;2;1;2;0;1;0;0;0;0;0;0;0;0;3;0
24;27;9;0;5;3;1;2;3;1;0;0;0;0;0;0;1;0;3;0
24;26;8;0;0;2;1;2;0;1;0;0;0;0;0;0;0;0;3;0
24;27;9;0;5;3;1;2;3;1;0;0;0;0;0;0;1;0;3;0
24;26;8;0;0;2;1;2;0;1;0;0;0;0;0;0;0;0;3;0
24;27;9;0;5;3;1;2;3;1;0;0;0;0;0;0;1;0;3;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
469;12;449;13;15;1;4;0;11;1;4;9;88;2;8;12;1;1;0;1
24;26;8;0;0;2;1;2;0;1;0;0;0;0;0;0;0;0;3;0
24;27;9;0;11;8;1;2;3;1;0;0;0;0;0;0;6;0;3;0
24;26;8;0;0;2;1;2;0;1;0;0;0;0;0;0;0;0;3;0
24;27;9;0;5;3;1;2;3;1;0;0;0;0;0;0;1;0;3;0
24;26;8;0;0;2;1;2;0;1;0;0;0;0;0;0;0;0;3;0
24;27;9;0;5;3;1;2;3;1;0;0;0;0;0;0;1;0;3;0
24;26;8;0;0;2;1;2;0;1;0;0;0;0;0;0;0;0;3;0
24;27;9;0;5;3;1;2;3;1;0;0;0;0;0;0;1;0;3;0
24;26;8;0;0;2;1;2;0;1;0;0;0;0;0;0;0;0;3;0
24;27;9;0;5;3;1;2;3;1;0;0;0;0;0;0;1;0;3;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
469;12;449;13;15;1;4;0;11;1;4;9;88;2;8;12;1;1;0;1
24;26;8;0;0;2;1;2;0;1;0;0;0;0;0;0;0;0;3;0
24;27;9;0;11;8;1;2;3;1;0;0;0;0;0;0;6;0;3;0
24;26;8;0;0;2;1;2;0;1;0;0;0;0;0;0;0;0;3;0
24;27;9;0;5;3;1;2;3;1;0;0;0;0;0;0;1;0;3;0
24;26;8;0;0;2;1;2;0;1;0;0;0;0;0;0;0;0;3;0
24;27;9;0;5;3;1;2;3;1;0;0;0;0;0;0;1;0;3;0
24;26;8;0;0;2;1;2;0;1;0;0;0;0;0;0;0;0;3;0
24;27;9;0;5;3;1;2;3;1;0;0;0;0;0;0;1;0;3;0
24;26;8;0;0;2;1;2;0;1;0;0;0;0;0;0;0;0;3;0
24;27;9;0;5;3;1;2;3;1;0;0;0;0;0;0;1;0;3;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
469;12;449;13;15;1;4;0;11;1;4;9;88;2;8;12;1;1;0;1
24;26;8;0;0;2;1;2;0;1;0;0;0;0;0;0;0;0;3;0
24;27;9;0;11;8;1;2;3;1;0;0;0;0;0;0;6;0;3;0
24;26;8;0;0;2;1;2;0;1;0;0;0;0;0;0;0;0;3;0
24;27;9;0;5;3;1;2;3;1;0;0;0;0;0;0;1;0;3;0
24;26;8;0;0;2;1;2;0;1;0;0;0;0;0;0;0;0;3;0
24;27;9;0;5;3;1;2;3;1;0;0;0;0;0;0;1;0;3;0
24;26;8;0;0;2;1;2;0;1;0;0;0;0;0;0;0;0;3;0
24;27;9;0;5;3;1;2;3;1;0;0;0;0;0;0;1;0;3;0
24;26;8;0;0;2;1;2;0;1;0;0;0;0;0;0;0;0;3;0
24;27;9;0;5;3;1;2;3;1;0;0;0;0;0;0;1;0;3;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
469;12;449;13;15;1;4;0;11;1;4;9;88;2;8;12;1;1;0;1
24;26;8;0;0;2;1;2;0;1;0;0;0;0;0;0;0;0;3;0
24;27;9;0;11;8;1;2;3;1;0;0;0;0;0;0;6;0;3;0
24;26;8;0;0;2;1;2;0;1;0;0;0;0;0;0;0;0;3;0
24;27;9;0;5;3;1;2;3;1;0;0;0;0;0;0;1;0;3;0
24;26;8;0;0;2;1;2;0;1;0;0;0;0;0;0;0;0;3;0
24;27;9;0;5;3;1;2;3;1;0;0;0;0;0;0;1;0;3;0
24;26;8;0;0;2;1;2;0;1;0;0;0;0;0;0;0;0;3;0
24;27;9;0;5;3;1;2;3;1;0;0;0;0;0;0;1;0;3;0
24;26;8;0;0;2;1;2;0;1;0;0;0;0;0;0;0;0;3;0
24;27;9;0;5;3;1;2;3;1;0;0;0;0;0;0;1;0;3;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
469;12;449;13;15;1;4;0;11;1;4;9;88;2;8;12;1;1;0;1
24;26;8;0;0;2;1;2;0;1;0;0;0;0;0;0;0;0;3;0
24;27;9;0;11;8;1;2;3;1;0;0;0;0;0;0;6;0;3;0
24;26;8;0;0;2;1;2;0;1;0;0;0;0;0;0;0;0;3;0
24;27;9;0;5;3;1;2;3;1;0;0;0;0;0;0;1;0;3;0
24;26;8;0;0;2;1;2;0;1;0;0;0;0;0;0;0;0;3;0
24;27;9;0;5;3;1;2;3;1;0;0;0;0;0;0;1;0;3;0
24;26;8;0;0;2;1;2;0;1;0;0;0;0;0;0;0;0;3;0
24;27;9;0;5;3;1;2;3;1;0;0;0;0;0;0;1;0;3;0
24;26;8;0;0;2;1;2;0;1;0;0;0;0;0;0;0;0;3;0
24;27;9;0;5;3;1;2;3;1;0;0;0;0;0;0;1;0;3;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
469;12;449;13;15;1;4;0;11;1;4;9;88;2;8;12;1;1;0;1
24;26;8;0;0;2;1;2;0;1;0;0;0;0;0;0;0;0;3;0
24;27;9;0;11;8;1;2;3;1;0;0;0;0;0;0;6;0;3;0
