NtClose;NtOpenKey;NtQueryValueKey;NtAllocateVirtualMemory;LdrGetProcedureAddress;LdrGetDllHandle;GetSystemTimeAsFileTime;NtEnumerateValueKey;LdrLoadDll;SetUnhandledExceptionFilter;NtCreateFile;RegOpenKeyExW;SetErrorMode;RegCloseKey;NtMapViewOfSection;FindFirstFileExW;RegQueryValueExW;NtFreeVirtualMemory;NtReadFile;NtEnumerateKey;GetFileAttributesW;NtUnmapViewOfSection;LdrUnloadDll;NtCreateSection;NtTerminateProcess
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14729;8;7;2503;8;0;0;0;4;0;165;15;0;41;54;14559;8;2498;114;0;55;57;3;54;3
21713;175;2131;10548;883;71;238;35;405;0;17298;284;29;185;12;227;270;8609;25698;53;231;6;264;7;0
14611;1;1;1310;2;0;0;0;1;0;114;0;0;0;26;14558;0;1310;56;0;23;25;1;26;3
19;7;6;3;6;4;2;0;1;1;1;3;9;2;1;29;14;0;0;0;3;0;1;1;3
16;2;2;3;1;2;1;0;1;1;1;0;0;0;1;0;0;0;0;0;0;1;3;1;3
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14729;8;7;3734;8;0;0;0;4;0;165;15;0;41;54;14559;8;3625;114;0;55;57;3;54;3
21740;175;2131;8653;884;71;237;35;403;0;17329;284;29;185;12;227;270;8511;25735;53;231;6;262;7;0
14611;1;1;1377;2;0;0;0;1;0;114;0;0;0;26;14558;0;1379;56;0;23;25;1;26;3
19;7;6;3;6;4;2;0;1;1;1;3;9;2;1;29;14;0;0;0;3;0;1;1;3
16;2;2;4;1;2;1;0;1;1;1;0;0;0;1;0;0;0;0;0;0;1;3;1;3
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14728;8;7;3734;8;0;0;0;4;0;165;15;0;41;54;14559;8;3625;114;0;55;57;3;54;3
21716;175;2131;8942;883;71;237;35;403;0;17310;284;29;185;12;227;270;8549;25708;53;231;6;262;7;0
14611;1;1;1476;2;0;0;0;1;0;114;0;0;0;26;14558;0;1480;56;0;23;25;1;26;3
19;7;6;3;6;4;2;0;1;1;1;3;9;2;1;29;14;0;0;0;3;0;1;1;3
16;2;2;4;1;2;1;0;1;1;1;0;0;0;1;0;0;0;0;0;0;1;3;1;3
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14728;8;7;3732;7;0;0;0;4;0;165;15;0;41;54;14559;8;3625;114;0;55;57;3;54;3
21357;163;2010;17466;833;65;228;35;386;0;17252;278;29;185;12;227;270;8586;25588;53;204;6;245;7;0
14611;1;1;1299;2;0;0;0;1;0;114;0;0;0;26;14558;0;1302;56;0;23;25;1;26;3
19;7;6;3;6;4;2;0;1;1;1;3;9;2;1;29;14;0;0;0;3;0;1;1;3
16;2;2;3;1;2;1;0;1;1;1;0;0;0;1;0;0;0;0;0;0;1;3;1;3
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14729;8;7;3733;8;0;0;0;4;0;165;15;0;41;54;14559;8;3625;114;0;55;57;3;54;3
21690;175;2123;8669;883;71;233;35;400;0;17305;280;29;181;12;227;262;8540;25709;53;231;6;251;7;0
14611;1;1;2280;2;0;0;0;1;0;114;0;0;0;26;14558;0;2285;56;0;23;25;1;26;3
19;7;6;3;6;4;2;0;1;1;1;3;9;2;1;29;14;0;0;0;3;0;1;1;3
16;2;2;3;1;2;1;0;1;1;1;0;0;0;1;0;0;0;0;0;0;1;3;1;3
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14729;8;7;3734;8;0;0;0;4;0;165;15;0;41;54;14559;8;3625;114;0;55;57;3;54;3
21714;175;2131;9023;884;71;237;35;403;0;17302;284;29;185;12;227;270;8507;25702;53;231;6;262;7;0
14611;1;1;1369;2;0;0;0;1;0;114;0;0;0;26;14558;0;1373;56;0;23;25;1;26;3
19;7;6;3;6;4;2;0;1;1;1;3;9;2;1;29;14;0;0;0;3;0;1;1;3
16;2;2;3;1;2;1;0;1;1;1;0;0;0;1;0;0;0;0;0;0;1;3;1;3
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14729;8;7;3731;8;0;0;0;4;0;165;15;0;41;54;14559;8;3625;114;0;55;57;3;54;3
21716;175;2131;8713;883;71;241;35;404;0;17308;284;29;185;12;227;270;8506;25712;53;231;6;263;7;0
14610;1;1;1367;2;0;0;0;1;0;114;0;0;0;26;14558;0;1369;56;0;23;25;1;26;3
19;7;6;3;6;4;2;0;1;1;1;3;9;2;1;29;14;0;0;0;3;0;1;1;3
16;2;2;3;1;2;1;0;1;1;1;0;0;0;1;0;0;0;0;0;0;1;3;1;3
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14729;8;7;3735;8;0;0;0;4;0;165;15;0;41;54;14559;8;3625;114;0;55;57;3;54;3
21724;175;2131;8731;884;71;238;35;404;0;17309;284;29;185;12;227;270;8535;25713;53;231;6;256;7;0
14611;1;1;1368;2;0;0;0;1;0;114;0;0;0;26;14558;0;1370;56;0;23;25;1;26;3
19;7;6;3;6;4;2;0;1;1;1;3;9;2;1;29;14;0;0;0;3;0;1;1;3
16;2;2;3;1;2;1;0;1;1;1;0;0;0;1;0;0;0;0;0;0;1;3;1;3
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14729;8;7;3732;8;0;0;0;4;0;165;15;0;41;54;14559;8;3625;114;0;55;57;3;54;3
21727;175;2131;8754;884;71;237;35;403;0;17311;284;29;185;12;227;270;8542;25717;53;231;6;262;7;0
14611;1;1;2284;2;0;0;0;1;0;114;0;0;0;26;14558;0;2288;56;0;23;25;1;26;3
19;7;6;3;6;4;2;0;1;1;1;3;9;2;1;29;14;0;0;0;3;0;1;1;3
16;2;2;3;1;2;1;0;1;1;1;0;0;0;1;0;0;0;0;0;0;1;3;1;3
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14729;8;7;3734;8;0;0;0;4;0;165;15;0;41;54;14559;8;3625;114;0;55;57;3;54;3
21743;175;2131;8901;883;71;237;35;404;0;17331;284;29;185;12;227;270;8525;25737;53;231;6;263;7;0
